enzyme	logFC	logCPM	PValue	FDR	association
3.2.2.26	-4.850804997	3.898599855	0.000513963	0.002680944	root
3.2.2.27	-0.490304331	8.85097386	0.124842981	0.198894891	Not associated
3.2.2.4	-0.797442911	10.06111824	0.000103001	0.000795169	Not associated
3.2.2.8	4.221928881	2.826893968	0.000172611	0.001165984	soil
3.2.2.9	-1.278101959	7.394769245	0.01302656	0.031746281	Not associated
3.3.1.1	0.448663361	11.19737095	0.005936155	0.016883673	Not associated
3.3.2.10	0.867626194	2.727232041	0.422672471	0.530467693	Not associated
3.3.2.6	1.066000268	4.464427968	0.174761127	0.260886499	Not associated
3.3.2.9	1.47858294	8.277035487	0.000298037	0.001758286	soil
3.4.-.-	-1.073973187	11.60097744	8.70E-09	4.35E-07	root
3.4.11.1	-0.074354202	10.84014653	0.659231146	0.747792845	Not associated
3.4.11.2	0.171587882	11.24546337	0.244057397	0.337829451	Not associated
3.4.11.5	-0.464977854	9.491933818	0.054907782	0.10168101	Not associated
3.4.13.-	-1.80004198	2.953880681	0.178852482	0.266112008	Not associated
3.4.15.1	-0.053334302	9.497579551	0.849323355	0.898540213	Not associated
3.4.16.4	-0.580987529	10.25423845	0.001403314	0.005710475	Not associated
3.4.19.13	-0.895295125	10.91165066	1.06E-06	2.01E-05	Not associated
3.4.21.-	0.693837133	9.239895835	0.036853348	0.073870732	Not associated
3.4.21.107	-0.795909291	6.557802265	0.215904597	0.307686826	Not associated
3.4.21.4	-5.818516495	3.884347184	0.000246595	0.00153737	root
3.4.21.53	0.291364337	11.68159976	0.047950667	0.09124134	Not associated
3.4.21.69	0	-0.430257436	1	1	Not associated
3.4.21.89	-0.141940607	9.63235306	0.528124174	0.634782704	Not associated
3.4.21.92	0.731910215	10.84330609	0.000138933	0.000998394	Not associated
3.4.23.36	-0.422643773	8.393071996	0.249828296	0.344406151	Not associated
3.4.24.-	-1.207547435	9.138147307	7.67E-05	0.000635458	root
3.4.24.11	1.954232551	7.194934196	0.000899638	0.00403791	soil
3.4.24.15	1.209011648	7.772333156	0.013450593	0.032334098	Not associated
3.4.24.25	0.740826205	5.501974681	0.29024504	0.391338372	Not associated
3.4.24.56	-4.385535295	4.00945802	0.010680797	0.027123604	Not associated
3.4.25.1	2.515289384	8.74774074	8.53E-07	1.80E-05	soil
3.5.1.-	0.457400108	7.988006731	0.242012856	0.335687237	Not associated
3.5.1.1	-0.725204564	7.987414541	0.113932113	0.185676106	Not associated
3.5.1.10	-0.848283572	9.837431935	0.000131564	0.000955607	Not associated
3.5.1.107	0.113647431	2.178145823	0.919678959	0.950639843	Not associated
3.5.1.108	-1.601818073	8.869509691	1.55E-05	0.00017332	root
3.5.1.11	-0.229645373	10.01789889	0.241151811	0.335181169	Not associated
3.5.1.16	-0.077964388	9.083348151	0.826264916	0.877743289	Not associated
3.5.1.18	0.061294669	9.836420341	0.756009037	0.827018793	Not associated
3.5.1.19	0.457397382	7.988006731	0.242642386	0.336215244	Not associated
3.5.1.2	-1.072220522	7.920305809	0.019349711	0.043766666	Not associated
3.5.1.24	-4.290733061	4.787097841	0.001541126	0.006052502	root
3.5.1.25	-0.889202779	9.130285066	0.002411647	0.008529151	Not associated
3.5.1.26	-4.05297282	6.571087678	2.90E-07	7.99E-06	root
3.5.1.3	6.499495117	1.247200405	0.000525002	0.002717539	soil
3.5.1.32	-0.649991876	10.0931124	0.005453418	0.015912672	Not associated
3.5.1.38	-3.280971034	5.681199891	8.66E-05	0.000693991	root
3.5.1.4	0.235650932	10.33997463	0.185800933	0.273737252	Not associated
3.5.1.41	-1.031231299	6.386248868	0.128788635	0.203263371	Not associated
